project_id,site_id,datetime,duration,variable,observation
neon4cast,ABBY,2017-08-01 00:00:00+00:00,P1D,nee,-3.643310565130535
neon4cast,ABBY,2017-08-02 00:00:00+00:00,P1D,nee,-1.303639380611678
neon4cast,ABBY,2017-08-03 00:00:00+00:00,P1D,nee,-2.152446261615653
neon4cast,ABBY,2017-08-04 00:00:00+00:00,P1D,nee,-4.297783185253387
neon4cast,ABBY,2017-08-05 00:00:00+00:00,P1D,nee,-3.1574224517260023
neon4cast,ABBY,2017-08-06 00:00:00+00:00,P1D,nee,-6.513191350891051
neon4cast,ABBY,2017-08-07 00:00:00+00:00,P1D,nee,-4.692067708059504
neon4cast,ABBY,2017-08-08 00:00:00+00:00,P1D,nee,-4.174633287944658
neon4cast,ABBY,2017-08-09 00:00:00+00:00,P1D,nee,-6.416657140308124
neon4cast,ABBY,2017-08-11 00:00:00+00:00,P1D,nee,-8.621639603117007
neon4cast,ABBY,2017-08-12 00:00:00+00:00,P1D,nee,-7.108946049938093
neon4cast,ABBY,2017-08-14 00:00:00+00:00,P1D,nee,-7.462120610252157
neon4cast,ABBY,2017-08-15 00:00:00+00:00,P1D,nee,-5.5508177450850855
neon4cast,ABBY,2017-08-16 00:00:00+00:00,P1D,nee,-4.616631077788615
neon4cast,ABBY,2017-08-17 00:00:00+00:00,P1D,nee,-2.738849861795772
neon4cast,ABBY,2017-08-18 00:00:00+00:00,P1D,nee,-4.262033515032337
neon4cast,ABBY,2017-08-19 00:00:00+00:00,P1D,nee,-3.848287062689054
neon4cast,ABBY,2017-08-20 00:00:00+00:00,P1D,nee,-5.54763642229745
neon4cast,ABBY,2017-08-21 00:00:00+00:00,P1D,nee,-2.6380423647812803
neon4cast,ABBY,2017-08-22 00:00:00+00:00,P1D,nee,-4.976543948356082
neon4cast,ABBY,2017-08-23 00:00:00+00:00,P1D,nee,-4.935934378019165
neon4cast,ABBY,2017-08-26 00:00:00+00:00,P1D,nee,-2.3754344152921187
neon4cast,ABBY,2017-08-27 00:00:00+00:00,P1D,nee,-2.682477404197441
neon4cast,ABBY,2017-08-28 00:00:00+00:00,P1D,nee,-2.1081151797360875
neon4cast,ABBY,2017-08-29 00:00:00+00:00,P1D,nee,-3.876307704352616
neon4cast,ABBY,2017-08-30 00:00:00+00:00,P1D,nee,-3.949070883284168
neon4cast,ABBY,2017-08-31 00:00:00+00:00,P1D,nee,-3.164162680108312
neon4cast,ABBY,2017-09-01 00:00:00+00:00,P1D,nee,-1.9603832176550895
neon4cast,ABBY,2017-09-02 00:00:00+00:00,P1D,nee,-1.4642630442949744
neon4cast,ABBY,2017-09-03 00:00:00+00:00,P1D,nee,-2.3285909734697654
neon4cast,ABBY,2017-09-04 00:00:00+00:00,P1D,nee,-2.7980289975770667
neon4cast,ABBY,2017-09-05 00:00:00+00:00,P1D,nee,1.4252360075612729
neon4cast,ABBY,2017-09-06 00:00:00+00:00,P1D,nee,-0.4933431142695114
neon4cast,ABBY,2017-09-07 00:00:00+00:00,P1D,nee,-4.19607286731815
neon4cast,ABBY,2017-09-08 00:00:00+00:00,P1D,nee,-0.9113226217515072
neon4cast,ABBY,2017-09-09 00:00:00+00:00,P1D,nee,-2.918409708343681
neon4cast,ABBY,2017-09-12 00:00:00+00:00,P1D,nee,-1.8408759549136071
neon4cast,ABBY,2017-09-13 00:00:00+00:00,P1D,nee,-2.4989719713636447
neon4cast,ABBY,2017-09-15 00:00:00+00:00,P1D,nee,-5.857102381199333
neon4cast,ABBY,2017-09-16 00:00:00+00:00,P1D,nee,-4.054617658385846
neon4cast,ABBY,2017-10-11 00:00:00+00:00,P1D,nee,1.8318925316783483
neon4cast,ABBY,2017-10-15 00:00:00+00:00,P1D,nee,-2.9999269266808413
neon4cast,ABBY,2017-10-16 00:00:00+00:00,P1D,nee,-1.8079745109290184
neon4cast,ABBY,2017-10-18 00:00:00+00:00,P1D,nee,1.3014298385721104
neon4cast,ABBY,2017-10-23 00:00:00+00:00,P1D,nee,-0.9118435104147078
neon4cast,ABBY,2017-10-24 00:00:00+00:00,P1D,nee,-1.024161415811956
neon4cast,ABBY,2017-10-25 00:00:00+00:00,P1D,nee,-0.651863132169002
neon4cast,ABBY,2017-10-26 00:00:00+00:00,P1D,nee,-0.2660096656439571
neon4cast,ABBY,2017-10-27 00:00:00+00:00,P1D,nee,0.3905662039071315
neon4cast,ABBY,2017-10-28 00:00:00+00:00,P1D,nee,-0.0396643118607086
neon4cast,ABBY,2017-10-29 00:00:00+00:00,P1D,nee,-0.3823619795914812
neon4cast,ABBY,2017-10-30 00:00:00+00:00,P1D,nee,2.868144088777029
neon4cast,ABBY,2017-11-03 00:00:00+00:00,P1D,nee,1.4430078402486342
neon4cast,ABBY,2017-11-04 00:00:00+00:00,P1D,nee,2.147386425246465
neon4cast,ABBY,2017-11-06 00:00:00+00:00,P1D,nee,-0.66486928599747
neon4cast,ABBY,2017-11-07 00:00:00+00:00,P1D,nee,0.3537678518967251
neon4cast,ABBY,2017-11-08 00:00:00+00:00,P1D,nee,4.359482167977844
neon4cast,ABBY,2017-11-09 00:00:00+00:00,P1D,nee,2.856601367101266
neon4cast,ABBY,2017-11-12 00:00:00+00:00,P1D,nee,1.3720700775680594
neon4cast,ABBY,2017-11-13 00:00:00+00:00,P1D,nee,1.9306307760259505
neon4cast,ABBY,2017-11-14 00:00:00+00:00,P1D,nee,0.0348998944389398
neon4cast,ABBY,2017-11-15 00:00:00+00:00,P1D,nee,2.9233367095121268
neon4cast,ABBY,2017-11-16 00:00:00+00:00,P1D,nee,1.5162050724156164
neon4cast,ABBY,2017-11-17 00:00:00+00:00,P1D,nee,0.9826233284515344
neon4cast,ABBY,2017-11-18 00:00:00+00:00,P1D,nee,-0.8196096746745841
neon4cast,ABBY,2017-11-19 00:00:00+00:00,P1D,nee,-0.5839335734051471
neon4cast,ABBY,2017-11-25 00:00:00+00:00,P1D,nee,-0.274465365761397
neon4cast,ABBY,2017-11-26 00:00:00+00:00,P1D,nee,2.754652466654571
neon4cast,ABBY,2017-12-05 00:00:00+00:00,P1D,nee,-0.4931085029807934
neon4cast,ABBY,2017-12-06 00:00:00+00:00,P1D,nee,1.410139866288287
neon4cast,ABBY,2017-12-07 00:00:00+00:00,P1D,nee,0.5394090351642884
neon4cast,ABBY,2017-12-08 00:00:00+00:00,P1D,nee,-0.7663915353185513
neon4cast,ABBY,2017-12-09 00:00:00+00:00,P1D,nee,-0.6437989671206804
neon4cast,ABBY,2017-12-12 00:00:00+00:00,P1D,nee,1.1580731161737916
neon4cast,ABBY,2017-12-16 00:00:00+00:00,P1D,nee,0.2934480605765239
neon4cast,ABBY,2017-12-21 00:00:00+00:00,P1D,nee,-0.54725554417214
neon4cast,ABBY,2017-12-24 00:00:00+00:00,P1D,nee,2.760266796175171
neon4cast,ABBY,2017-12-31 00:00:00+00:00,P1D,nee,0.0258384416100657
neon4cast,ABBY,2018-01-01 00:00:00+00:00,P1D,nee,-1.2677837826806109
neon4cast,ABBY,2018-01-02 00:00:00+00:00,P1D,nee,-0.170112525968635
neon4cast,ABBY,2018-01-03 00:00:00+00:00,P1D,nee,-0.7394142860025447
neon4cast,ABBY,2018-01-04 00:00:00+00:00,P1D,nee,1.19315310316127
neon4cast,ABBY,2018-01-05 00:00:00+00:00,P1D,nee,0.7518678128713238
neon4cast,ABBY,2018-01-14 00:00:00+00:00,P1D,nee,2.627081084317993
neon4cast,ABBY,2018-01-15 00:00:00+00:00,P1D,nee,3.444819289117594
neon4cast,ABBY,2018-01-19 00:00:00+00:00,P1D,nee,1.0320870512680007
neon4cast,ABBY,2018-01-21 00:00:00+00:00,P1D,nee,1.842791993828162
neon4cast,ABBY,2018-01-22 00:00:00+00:00,P1D,nee,0.6038002501608232
neon4cast,ABBY,2018-01-23 00:00:00+00:00,P1D,nee,1.282901511208968
neon4cast,ABBY,2018-01-26 00:00:00+00:00,P1D,nee,0.6412345207516996
neon4cast,ABBY,2018-01-29 00:00:00+00:00,P1D,nee,-0.1203190539149311
neon4cast,ABBY,2018-01-30 00:00:00+00:00,P1D,nee,0.213378655211922
neon4cast,ABBY,2018-02-05 00:00:00+00:00,P1D,nee,0.3761381736335639
neon4cast,ABBY,2018-02-08 00:00:00+00:00,P1D,nee,-0.5269478458732756
neon4cast,ABBY,2018-02-09 00:00:00+00:00,P1D,nee,-0.4023918705909775
neon4cast,ABBY,2018-02-10 00:00:00+00:00,P1D,nee,-1.4638595507289345
neon4cast,ABBY,2018-02-11 00:00:00+00:00,P1D,nee,-2.0640873647125204
neon4cast,ABBY,2018-02-12 00:00:00+00:00,P1D,nee,0.5289497458477724
neon4cast,ABBY,2018-02-13 00:00:00+00:00,P1D,nee,0.6304582981145178
neon4cast,ABBY,2018-02-21 00:00:00+00:00,P1D,nee,0.297553010170446
neon4cast,ABBY,2018-02-22 00:00:00+00:00,P1D,nee,1.5198892207206929
neon4cast,ABBY,2018-02-23 00:00:00+00:00,P1D,nee,0.669134563394903
neon4cast,ABBY,2018-03-02 00:00:00+00:00,P1D,nee,-0.8638475372228223
neon4cast,ABBY,2018-03-03 00:00:00+00:00,P1D,nee,-1.3747525682529174
neon4cast,ABBY,2018-03-04 00:00:00+00:00,P1D,nee,-0.6577756690171348
neon4cast,ABBY,2018-03-06 00:00:00+00:00,P1D,nee,-0.1695267985762106
neon4cast,ABBY,2018-03-07 00:00:00+00:00,P1D,nee,-2.014917488216826
neon4cast,ABBY,2018-03-09 00:00:00+00:00,P1D,nee,-1.2151497626859868
neon4cast,ABBY,2018-03-10 00:00:00+00:00,P1D,nee,-1.2130011683655906
neon4cast,ABBY,2018-03-11 00:00:00+00:00,P1D,nee,-0.4408395140523332
neon4cast,ABBY,2018-03-12 00:00:00+00:00,P1D,nee,0.5431587977725759
neon4cast,ABBY,2018-03-13 00:00:00+00:00,P1D,nee,2.6849691288151054
neon4cast,ABBY,2018-03-15 00:00:00+00:00,P1D,nee,-2.111056710377342
neon4cast,ABBY,2018-03-19 00:00:00+00:00,P1D,nee,-2.4221626812143064
neon4cast,ABBY,2018-03-20 00:00:00+00:00,P1D,nee,-1.6468034251458217
neon4cast,ABBY,2018-03-29 00:00:00+00:00,P1D,nee,-3.343198661628501
neon4cast,ABBY,2018-03-30 00:00:00+00:00,P1D,nee,-2.393592011286445
neon4cast,ABBY,2018-03-31 00:00:00+00:00,P1D,nee,-3.2600911006421764
neon4cast,ABBY,2018-04-03 00:00:00+00:00,P1D,nee,-3.072451588344817
neon4cast,ABBY,2018-04-07 00:00:00+00:00,P1D,nee,1.1373458551413016
neon4cast,ABBY,2018-04-10 00:00:00+00:00,P1D,nee,-0.4927678513272507
neon4cast,ABBY,2018-04-11 00:00:00+00:00,P1D,nee,-5.896083851774153
neon4cast,ABBY,2018-04-18 00:00:00+00:00,P1D,nee,-4.3589644354930845
neon4cast,ABBY,2018-04-19 00:00:00+00:00,P1D,nee,-3.18274845759474
neon4cast,ABBY,2018-04-20 00:00:00+00:00,P1D,nee,-3.6750274123463824
neon4cast,ABBY,2018-04-21 00:00:00+00:00,P1D,nee,-1.739748890065952
neon4cast,ABBY,2018-04-22 00:00:00+00:00,P1D,nee,-3.3355485115013783
neon4cast,ABBY,2018-04-23 00:00:00+00:00,P1D,nee,-1.604378976957558
neon4cast,ABBY,2018-04-24 00:00:00+00:00,P1D,nee,-0.0925980016810402
neon4cast,ABBY,2018-04-25 00:00:00+00:00,P1D,nee,0.1427577213164139
neon4cast,ABBY,2018-04-26 00:00:00+00:00,P1D,nee,1.8239128176866888
neon4cast,ABBY,2018-04-27 00:00:00+00:00,P1D,nee,3.423298463800541
neon4cast,ABBY,2018-04-28 00:00:00+00:00,P1D,nee,-0.4750106115755979
neon4cast,ABBY,2018-04-29 00:00:00+00:00,P1D,nee,-1.1768169591689606
neon4cast,ABBY,2018-04-30 00:00:00+00:00,P1D,nee,-1.5258685725941212
neon4cast,ABBY,2018-05-01 00:00:00+00:00,P1D,nee,-0.6002102717545643
neon4cast,ABBY,2018-05-03 00:00:00+00:00,P1D,nee,-2.7985527358265454
neon4cast,ABBY,2018-05-04 00:00:00+00:00,P1D,nee,-0.8997150984553626
neon4cast,ABBY,2018-05-05 00:00:00+00:00,P1D,nee,-2.328469010899925
neon4cast,ABBY,2018-05-06 00:00:00+00:00,P1D,nee,0.7617161708354997
neon4cast,ABBY,2018-05-07 00:00:00+00:00,P1D,nee,0.6203717062470869
neon4cast,ABBY,2018-05-08 00:00:00+00:00,P1D,nee,-2.7992558954445736
neon4cast,ABBY,2018-05-09 00:00:00+00:00,P1D,nee,-0.3575467490514641
neon4cast,ABBY,2018-05-10 00:00:00+00:00,P1D,nee,0.9163666886141792
