project_id,site_id,datetime,duration,variable,observation
neon4cast,ABBY,2017-08-01T00:00:00Z,P1D,le,100.12800680203026
neon4cast,ABBY,2017-08-01T00:00:00Z,P1D,nee,-3.643310565130535
neon4cast,ABBY,2017-08-02T00:00:00Z,P1D,le,109.05001812149904
neon4cast,ABBY,2017-08-02T00:00:00Z,P1D,nee,-1.303639380611678
neon4cast,ABBY,2017-08-03T00:00:00Z,P1D,le,82.50228383275184
neon4cast,ABBY,2017-08-03T00:00:00Z,P1D,nee,-2.152446261615653
neon4cast,ABBY,2017-08-04T00:00:00Z,P1D,le,96.66938831613032
neon4cast,ABBY,2017-08-04T00:00:00Z,P1D,nee,-4.297783185253387
neon4cast,ABBY,2017-08-05T00:00:00Z,P1D,le,126.92519825267476
neon4cast,ABBY,2017-08-05T00:00:00Z,P1D,nee,-3.1574224517260023
neon4cast,ABBY,2017-08-06T00:00:00Z,P1D,le,96.77857442896676
neon4cast,ABBY,2017-08-06T00:00:00Z,P1D,nee,-6.513191350891051
neon4cast,ABBY,2017-08-07T00:00:00Z,P1D,le,72.14020024427967
neon4cast,ABBY,2017-08-07T00:00:00Z,P1D,nee,-4.692067708059504
neon4cast,ABBY,2017-08-08T00:00:00Z,P1D,le,85.11301706578114
neon4cast,ABBY,2017-08-08T00:00:00Z,P1D,nee,-4.174633287944658
neon4cast,ABBY,2017-08-09T00:00:00Z,P1D,le,108.41430592316036
neon4cast,ABBY,2017-08-09T00:00:00Z,P1D,nee,-6.416657140308124
neon4cast,ABBY,2017-08-11T00:00:00Z,P1D,le,100.16663587875934
neon4cast,ABBY,2017-08-11T00:00:00Z,P1D,nee,-8.621639603117007
neon4cast,ABBY,2017-08-12T00:00:00Z,P1D,le,77.59972263877785
neon4cast,ABBY,2017-08-12T00:00:00Z,P1D,nee,-7.108946049938093
neon4cast,ABBY,2017-08-14T00:00:00Z,P1D,le,88.36752103583643
neon4cast,ABBY,2017-08-14T00:00:00Z,P1D,nee,-7.462120610252157
neon4cast,ABBY,2017-08-15T00:00:00Z,P1D,le,84.69724044153523
neon4cast,ABBY,2017-08-15T00:00:00Z,P1D,nee,-5.5508177450850855
neon4cast,ABBY,2017-08-16T00:00:00Z,P1D,le,93.70209711782896
neon4cast,ABBY,2017-08-16T00:00:00Z,P1D,nee,-4.616631077788615
neon4cast,ABBY,2017-08-17T00:00:00Z,P1D,le,54.21486033347596
neon4cast,ABBY,2017-08-17T00:00:00Z,P1D,nee,-2.738849861795772
